code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
000517,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,荣安地产,2026-06-08,2026-06-08
000520,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,凤凰航运,2026-06-08,2026-06-05
000608,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-08 00:00:00,2026-06-08 00:00:00,2026-04-23 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,阳光股份,2026-06-08,2026-06-05
000668,ok,cache,sina_5m,False,40,180,180,1346,30,40,20,2026-04-08 00:00:00,2026-06-08 00:00:00,2026-04-22 14:45:00,2026-06-08 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,荣丰控股,2026-06-08,2026-06-05
000759,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,中百集团,2026-06-08,2026-06-08
001256,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,炜冈科技,2026-06-08,2026-06-05
001400,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,江顺科技,2026-06-08,2026-06-05
002138,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,顺络电子,2026-06-08,2026-06-05
002183,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,怡 亚 通,2026-06-08,2026-06-05
002194,ok,cache,sina_5m,False,40,180,180,1346,29,40,20,2026-04-09 00:00:00,2026-06-08 00:00:00,2026-04-24 14:55:00,2026-06-08 15:00:00,True,,11,0,0,0,0,29,0.0,True,,,武汉凡谷,2026-06-08,2026-06-05
