representation,model_stage,run_type,lambda,test_signal_date,train_signal_dates,train_rows,test_rows,train_max_signal_date,test_after_train,date_equal_weight_sum,predictor_count,predictors,imputation_scaling_pca_fit,model_status
RAW,M0,PERMUTED,10,2026-06-02,19,150,2,2026-06-01,True,19,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-03,20,152,7,2026-06-02,True,20,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-04,21,159,6,2026-06-03,True,21,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-05,22,165,6,2026-06-04,True,22,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-08,23,171,3,2026-06-05,True,23,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-09,24,174,9,2026-06-08,True,24,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-10,25,183,7,2026-06-09,True,25,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-11,26,190,10,2026-06-10,True,26,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-12,27,200,8,2026-06-11,True,27,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-15,28,208,3,2026-06-12,True,28,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-16,29,211,7,2026-06-15,True,29,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-17,30,218,17,2026-06-16,True,30,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-18,31,235,15,2026-06-17,True,31,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-22,32,250,7,2026-06-18,True,32,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-23,33,257,14,2026-06-22,True,33,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-24,34,271,15,2026-06-23,True,34,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-25,35,286,9,2026-06-24,True,35,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-26,36,295,12,2026-06-25,True,36,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
RAW,M0,PERMUTED,10,2026-06-29,37,307,5,2026-06-26,True,37,4,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
