factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
active_money_score,all_opportunity_d3_max,all_candidates,1,591,32.0,50.0,44.9543,7.1123,5.8587,2.2651,10.1338,0.4399,0.2876,0.0118,0.4399,2.0949,7.1123
active_money_score,all_opportunity_d3_max,all_candidates,2,590,50.0,62.0,57.5627,6.4049,5.1193,1.98,9.7102,0.3746,0.2305,0.0017,0.3746,1.2524,6.4049
active_money_score,all_opportunity_d3_max,all_candidates,3,590,62.0,74.0,68.4237,6.2169,5.0565,1.9489,9.7386,0.3864,0.2136,0.0102,0.3864,0.7418,6.2169
active_money_score,all_opportunity_d3_max,all_candidates,4,590,74.0,86.0,80.1051,5.9295,4.9527,1.7005,9.8316,0.378,0.2136,0.0051,0.378,0.7549,5.9295
active_money_score,all_opportunity_d3_max,all_candidates,5,591,86.0,100.0,92.7885,5.2089,4.0469,0.8794,8.6433,0.3198,0.1709,0.0305,0.3198,-0.7504,5.2089
active_money_score,all_primary_d3_close,all_candidates,1,591,32.0,50.0,44.9543,2.0949,0.9227,-3.5793,7.5439,0.2707,0.1709,0.2792,0.4399,2.0949,7.1123
active_money_score,all_primary_d3_close,all_candidates,2,590,50.0,62.0,57.5627,1.2524,0.0614,-4.5461,6.0598,0.2186,0.1424,0.3271,0.3746,1.2524,6.4049
active_money_score,all_primary_d3_close,all_candidates,3,590,62.0,74.0,68.4237,0.7418,0.0,-4.3765,5.0375,0.1831,0.1085,0.3305,0.3864,0.7418,6.2169
active_money_score,all_primary_d3_close,all_candidates,4,590,74.0,86.0,80.1051,0.7549,0.2875,-4.5475,5.6287,0.1881,0.1051,0.339,0.378,0.7549,5.9295
active_money_score,all_primary_d3_close,all_candidates,5,591,86.0,100.0,92.7885,-0.7504,-1.7257,-5.8742,3.101,0.1387,0.0948,0.4247,0.3198,-0.7504,5.2089
active_money_score,executed_realized_d3,executed_only,1,33,40.0,56.0,49.2121,-0.3035,-0.7309,-4.7578,7.0,0.303,0.0,0.3636,0.3333,0.5262,6.1252
active_money_score,executed_realized_d3,executed_only,2,32,56.0,64.0,58.5,-0.7388,0.8027,-6.5657,7.0,0.2812,0.0,0.375,0.3125,-0.6547,5.0429
active_money_score,executed_realized_d3,executed_only,3,32,64.0,72.0,68.625,1.0313,2.3122,-3.0413,7.0,0.4062,0.0,0.25,0.4375,0.2364,6.2783
active_money_score,executed_realized_d3,executed_only,4,32,72.0,78.0,77.375,3.17,7.0,-0.0752,7.0,0.5625,0.0,0.1562,0.5,3.7201,7.8921
active_money_score,executed_realized_d3,executed_only,5,33,78.0,88.0,83.8182,1.173,1.1843,-2.2435,7.0,0.3939,0.0,0.2121,0.3636,0.4182,6.4367
consecutive_boards,all_opportunity_d3_max,all_candidates,1,591,1.0,1.0,1.0,5.6133,4.5952,1.6779,8.9597,0.3299,0.1895,0.0169,0.3299,-0.6858,5.6133
consecutive_boards,all_opportunity_d3_max,all_candidates,2,590,1.0,1.0,1.0,6.8628,5.3754,2.2216,10.0524,0.4271,0.261,0.0102,0.4271,3.0967,6.8628
consecutive_boards,all_opportunity_d3_max,all_candidates,3,590,1.0,1.0,1.0,6.233,4.6986,1.8693,9.7834,0.3661,0.2322,0.0051,0.3661,1.3343,6.233
consecutive_boards,all_opportunity_d3_max,all_candidates,4,590,1.0,1.0,1.0,6.3138,5.0227,2.0577,9.9513,0.3898,0.2356,0.0169,0.3898,0.1993,6.3138
consecutive_boards,all_opportunity_d3_max,all_candidates,5,591,1.0,4.0,1.6684,5.8508,4.9648,1.1988,9.4461,0.3858,0.198,0.0102,0.3858,0.1521,5.8508
consecutive_boards,all_primary_d3_close,all_candidates,1,591,1.0,1.0,1.0,-0.6858,-1.5775,-5.5061,4.0057,0.1354,0.0728,0.4095,0.3299,-0.6858,5.6133
consecutive_boards,all_primary_d3_close,all_candidates,2,590,1.0,1.0,1.0,3.0967,2.1073,-2.2824,7.7043,0.2678,0.1847,0.2153,0.4271,3.0967,6.8628
consecutive_boards,all_primary_d3_close,all_candidates,3,590,1.0,1.0,1.0,1.3343,0.2593,-3.5853,5.689,0.2068,0.1305,0.2881,0.3661,1.3343,6.233
consecutive_boards,all_primary_d3_close,all_candidates,4,590,1.0,1.0,1.0,0.1993,-0.4342,-5.8852,5.4987,0.2085,0.122,0.3797,0.3898,0.1993,6.3138
consecutive_boards,all_primary_d3_close,all_candidates,5,591,1.0,4.0,1.6684,0.1521,-1.2925,-5.6743,5.0981,0.181,0.1117,0.4078,0.3858,0.1521,5.8508
consecutive_boards,executed_realized_d3,executed_only,1,33,1.0,1.0,1.0,1.7959,7.0,-2.6527,7.0,0.5152,0.0,0.2424,0.3636,1.6855,7.4217
consecutive_boards,executed_realized_d3,executed_only,2,32,1.0,1.0,1.0,2.4483,2.3354,-0.9805,7.0,0.4375,0.0,0.125,0.4375,3.3124,7.043
consecutive_boards,executed_realized_d3,executed_only,3,32,1.0,1.0,1.0,0.8938,1.5449,-2.5104,7.0,0.3438,0.0,0.2188,0.4688,2.4168,7.684
