count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,bucket_type,bucket
5,3.4692,2.9759,5.3545,5.8101,-2.4411,0.0,0.0,0.4,0.0,1.0,22.6,15.0,1.4,1.0,1.0,1.0,81.84,77.5,78.0,78.0,55.8,39.0,70.4,70.0,65.0,70.0,3.2791,3.0359,3.2791,3.0359,D2_LOW_ABSORB,normal,C,failed,executed_realized_d3_return,realized_3_to_7
63,6.9263,6.4451,11.8107,10.3996,-2.6348,0.4444,0.0635,0.8889,0.5556,1.0,14.6508,11.0,1.5079,1.0,1.1746,1.0,85.1683,82.7,80.6667,82.0,65.2222,69.0,69.1746,70.0,66.9841,70.0,3.6944,3.9997,3.6944,3.9997,D2_LOW_ABSORB,normal,A,success,executed_realized_d3_return,realized_7_to_10
22,-9.4118,-8.7983,1.8349,1.4888,-10.0953,0.0,1.0,0.0,0.0,1.0,20.0,16.0,1.7727,1.5,1.0455,1.0,81.7977,77.825,78.4545,82.0,63.2727,69.0,65.0,62.0,62.9545,70.0,3.6927,3.7478,3.6927,3.7478,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_<-7
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,50.22,46.05,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,opportunity_d3_max_return,data_issue
780,-4.3339,-3.9496,1.5248,1.5458,-6.5355,0.0,0.6051,0.0,0.0,0.059,23.1094,20.0,1.6077,1.0,1.0744,1.0,46.6146,45.475,54.6179,58.0,61.2256,79.0,68.5949,70.0,63.5577,70.0,3.4586,3.647,3.4586,3.647,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_0_to_3
374,7.5706,8.4457,11.7907,11.469,-1.2459,0.6497,0.0267,1.0,1.0,0.0481,14.8421,9.0,1.0401,1.0,1.1578,1.0,54.2734,56.4,63.2674,70.0,66.8984,89.0,66.9412,68.0,64.9198,70.0,3.16,3.4603,3.16,3.4603,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_10_to_15
768,-0.5856,0.2104,4.882,4.8132,-4.6621,0.0,0.2669,0.0,0.0,0.0534,19.2131,16.0,1.2565,1.0,1.1055,1.0,46.9727,45.3,58.5938,58.0,66.2292,89.0,68.8438,70.0,63.9974,70.0,3.3981,3.5023,3.3981,3.5023,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_3_to_7
462,2.9403,3.7343,8.5507,8.4711,-2.9542,0.1818,0.1082,1.0,0.0,0.0606,17.4186,12.0,1.0065,1.0,1.2056,1.0,52.5219,51.05,63.5195,70.0,69.1082,89.0,68.9177,70.0,64.8377,70.0,3.1945,3.486,3.1945,3.486,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_7_to_10
283,-8.2034,-7.6464,-1.4427,-0.9276,-10.2374,0.0,0.9435,0.0,0.0,0.0424,26.3182,28.5,1.6784,1.0,1.1378,1.0,46.9405,45.5,59.5689,58.0,63.7597,79.0,75.0318,78.0,63.5689,70.0,3.4136,3.6551,3.4136,3.6551,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_<0
285,15.363,16.1628,18.7244,19.0193,1.7413,0.9228,0.0,1.0,1.0,0.0596,17.8667,11.5,0.9263,0.0,1.2211,1.0,56.9744,57.3,65.0386,70.0,67.4702,89.0,64.9614,62.0,65.5614,70.0,2.8915,3.252,2.8915,3.252,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_>=15
485,-1.5572,-1.5016,3.7756,2.947,-4.3334,0.0,0.0,0.1629,0.0474,0.0598,19.8718,16.0,1.4247,1.0,1.1113,1.0,46.8982,45.5,56.6186,58.0,66.4227,89.0,68.5856,68.0,63.9072,70.0,3.3793,3.5656,3.3793,3.5656,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_-3_to_0
591,-4.8472,-4.7912,2.1978,1.6756,-6.5248,0.0,1.0,0.0677,0.0102,0.0423,24.625,25.5,1.5076,1.0,1.1134,1.0,45.8655,44.7,56.5854,58.0,62.8274,79.0,70.0643,72.0,63.6887,70.0,3.4525,3.6274,3.4525,3.6274,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_-7_to_-3
431,1.4588,1.433,5.5016,4.9912,-3.1099,0.0,0.0,0.2575,0.0603,0.0719,22.8205,20.0,1.3132,1.0,1.1067,1.0,48.6377,48.8,59.4571,60.0,64.645,89.0,69.1972,70.0,64.6056,70.0,3.3341,3.5668,3.3341,3.5668,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_0_to_3
442,4.9176,4.8661,8.3234,7.8269,-2.1791,0.0,0.0,0.6357,0.2127,0.0543,15.0278,10.0,1.0679,1.0,1.1493,1.0,50.346,49.4,59.8959,59.0,66.8439,89.0,68.733,70.0,64.6493,70.0,3.3052,3.5375,3.3052,3.5375,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_3_to_7
223,8.4302,8.3732,11.3255,10.6713,-0.9358,1.0,0.0,1.0,0.6233,0.0404,14.5556,9.0,1.0717,1.0,1.1839,1.0,55.9274,56.5,63.3274,70.0,66.4709,89.0,65.3991,64.0,64.1928,70.0,3.2557,3.5102,3.2557,3.5102,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_7_to_10
413,-10.1789,-9.5049,0.9176,0.6231,-11.5063,0.0,1.0,0.0484,0.0097,0.0605,20.6522,18.0,1.3874,1.0,1.1211,1.0,49.1427,47.75,61.6368,70.0,65.276,81.0,71.8886,72.0,63.2567,70.0,3.3721,3.5959,3.3721,3.5959,WATCH_ONLY,zero,A,ordinary,primary_d3_close_return,close_<-7
367,15.1448,14.372,16.7365,16.8976,0.8511,1.0,0.0,1.0,1.0,0.0518,16.9,9.5,1.0354,0.0,1.1935,1.0,56.3593,56.0,63.8256,70.0,66.2289,89.0,64.9864,62.0,65.7766,70.0,2.8863,3.1915,2.8863,3.1915,WATCH_ONLY,zero,A,missed_unselected,primary_d3_close_return,close_>=10
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,50.22,46.05,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,primary_d3_close_return,data_issue
